,Temperature (K),Volume (angstrom^3),W Number,W Loading
309,383.0,187649984473770.66,2.5,0.0
310,383.0,187649984473770.66,2.5,0.0
311,383.0,187649984473770.66,2.5,0.0
312,383.0,187649984473770.66,2.5,0.0
313,383.0,187649984473770.66,2.5,0.0
314,383.0,187649984473770.66,2.5,0.0
315,383.0,187649984473770.66,2.5,0.0
316,383.0,187649984473770.66,2.5,0.0
317,383.0,187649984473770.66,2.5,0.0
318,383.0,187649984473770.66,2.5,0.0
319,383.0,187649984473770.66,2.5,0.0
320,383.0,1501199875790165.2,2.5,0.0
321,383.0,1501199875790165.2,2.5,0.0
322,383.0,1501199875790165.2,2.5,0.0
323,383.0,1501199875790165.2,2.5,0.0
324,383.0,1501199875790165.2,2.5,0.0
325,383.0,1501199875790165.2,2.5,0.0
326,383.0,1501199875790165.2,2.5,0.0
327,383.0,1501199875790165.2,2.5,0.0
328,383.0,1501199875790165.2,2.5,0.0
329,383.0,1501199875790165.2,2.5,0.0
330,383.0,1501199875790165.2,2.5,0.0
331,383.0,1501199875790165.2,2.5,0.0
332,383.0,1501199875790165.2,2.5,0.0
333,383.0,1501199875790165.2,2.5,0.0
334,383.0,1501199875790165.2,2.5,0.0
335,383.0,1501199875790165.2,2.5,0.0
336,383.0,1501199875790165.2,2.5,0.0
337,383.0,1501199875790165.2,2.5,0.0
338,383.0,1501199875790165.2,2.5,0.0
339,383.0,1501199875790165.2,2.5,0.0
340,383.0,1501199875790165.2,2.5,0.0
341,383.0,1501199875790165.2,2.5,0.0
342,383.0,1501199875790165.2,2.5,0.0
343,383.0,1501199875790165.2,2.5,0.0
344,383.0,1501199875790165.2,2.5,0.0
345,383.0,1501199875790165.2,2.5,0.0
346,383.0,1501199875790165.2,2.5,0.0
347,383.0,1501199875790165.2,2.5,0.0
348,383.0,1501199875790165.2,2.5,0.0
349,383.0,1501199875790165.2,2.5,0.0
350,383.0,1501199875790165.2,2.5,0.0
351,383.0,1501199875790165.2,2.5,0.0
352,383.0,1.2009599006321322e+16,2.5,0.0
353,383.0,1.2009599006321322e+16,2.5,0.0
354,383.0,1.2009599006321322e+16,2.5,0.0
355,383.0,1.2009599006321322e+16,2.5,0.0
356,383.0,1.2009599006321322e+16,2.5,0.0
357,383.0,1.2009599006321322e+16,2.5,0.0
358,383.0,1.2009599006321322e+16,2.5,0.0
359,383.0,1.2009599006321322e+16,2.5,0.0
