,Temperature (K),Volume (angstrom^3),W Number,W Loading Mean,W Loading STD
87,473.0,9709.037037037036,2.8518518518518516,0.5811634722222222,0.011587202858924946
88,473.0,39768215.7037037,2.8518518518518516,0.0001454513888888889,6.525797161439332e-06
89,473.0,4096.0,2.8518518518518516,1.2604238773148149,0.020065013396952772
90,473.0,83399993099453.62,2.8518518518518516,0.0,0.0
91,473.0,512.0,2.8518518518518516,2.559857141203704,0.009855278386829744
92,473.0,318145725.6296296,2.8518518518518516,1.709490740740741e-05,2.7964026454512888e-06
93,473.0,10424999137431.703,2.8518518518518516,0.0,0.0
94,473.0,1303124892178.963,2.8518518518518516,0.0,0.0
95,473.0,20361326440.296295,2.8518518518518516,2.893518518518519e-07,3.3041903758380085e-07
96,463.0,9709.037037037036,2.8518518518518516,0.6397151157407407,0.015819594392095872
97,463.0,39768215.7037037,2.8518518518518516,0.00014924768518518518,7.533922128538952e-06
98,463.0,1303124892178.963,2.8518518518518516,0.0,0.0
99,463.0,4096.0,2.8518518518518516,1.3905644560185184,0.028276618885195063
100,463.0,10424999137431.703,2.8518518518518516,0.0,0.0
101,463.0,2545165805.037037,2.8518518518518516,2.1643518518518516e-06,7.641518907520401e-07
102,463.0,621378.3703703703,2.8518518518518516,0.009576319444444446,6.70795430964111e-05
103,463.0,4971026.962962963,2.8518518518518516,0.0012011111111111111,1.869545105796142e-05
104,463.0,77672.29629629629,2.8518518518518516,0.07623195601851852,0.0007562197472912236
105,463.0,5337599558365032.0,2.8518518518518516,0.0,0.0
106,463.0,667199944795629.0,2.8518518518518516,0.0,0.0
107,463.0,20361326440.296295,2.8518518518518516,2.314814814814815e-07,3.3062168650661343e-07
108,463.0,512.0,2.8518518518518516,2.6070516087962963,0.010587986384210886
109,463.0,318145725.6296296,2.8518518518518516,1.853009259259259e-05,2.9125991258145145e-06
110,463.0,162890611522.37036,2.8518518518518516,3.4722222222222227e-08,1.0795577607741686e-07
111,463.0,83399993099453.62,2.8518518518518516,0.0,0.0
112,353.0,318145725.6296296,2.8518518518518516,3.903935185185186e-05,3.5110292797445576e-06
113,353.0,4096.0,2.8518518518518516,2.744428912037037,0.011942396104131241
114,353.0,10424999137431.703,2.8518518518518516,0.0,0.0
115,353.0,9709.037037037036,2.8518518518518516,2.6014096412037038,0.021237257839002505
116,353.0,77672.29629629629,2.8518518518518516,0.955300462962963,0.10984301076739549
117,353.0,4971026.962962963,2.8518518518518516,0.002509363425925926,3.603199243066738e-05
118,353.0,1303124892178.963,2.8518518518518516,1.1574074074074076e-08,6.444171716238451e-08
119,353.0,621378.3703703703,2.8518518518518516,0.020754583333333333,0.0005700786046533749
120,353.0,20361326440.296295,2.8518518518518516,6.134259259259261e-07,6.044060828308754e-07
121,353.0,162890611522.37036,2.8518518518518516,1.0416666666666668e-07,2.490443841591437e-07
122,353.0,2545165805.037037,2.8518518518518516,4.8611111111111105e-06,1.5869570834261676e-06
123,353.0,667199944795629.0,2.8518518518518516,0.0,0.0
124,353.0,5337599558365032.0,2.8518518518518516,0.0,0.0
125,353.0,39768215.7037037,2.8518518518518516,0.000313587962962963,1.066642453268131e-05
126,353.0,83399993099453.62,2.8518518518518516,0.0,0.0
127,353.0,512.0,2.8518518518518516,2.83813306712963,0.0028959758206268
128,483.0,621378.3703703703,2.8518518518518516,0.008725034722222223,5.375778402300569e-05
129,483.0,39768215.7037037,2.8518518518518516,0.00013810185185185185,8.870423528797648e-06
130,483.0,77672.29629629629,2.8518518518518516,0.06923783564814814,0.00046566828194704636
131,483.0,4971026.962962963,2.8518518518518516,0.0010916435185185185,2.2735759479018753e-05
132,483.0,162890611522.37036,2.8518518518518516,2.314814814814815e-08,8.965239227331983e-08
133,483.0,9709.037037037036,2.8518518518518516,0.5331547222222223,0.009886954318155835
134,483.0,4096.0,2.8518518518518516,1.1513331018518518,0.025489580532978
135,483.0,2545165805.037037,2.8518518518518516,2.0254629629629626e-06,9.798395376526328e-07
136,483.0,10424999137431.703,2.8518518518518516,0.0,0.0
137,483.0,512.0,2.8518518518518516,2.5094058449074077,0.011667082236769129
