"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
493,4096,-2.586500e+01,4.363017e-02
473,64,-1.689791e+01,3.280953e-01
393,1024,-3.546820e+01,1.693363e-01
373,131072,-3.120133e+01,7.536798e-01
393,131072,-2.940548e+01,9.553718e-01
383,262144,-2.885422e+01,2.897236e+00
423,512,-3.076798e+01,1.821361e-01
443,256,-2.630309e+01,1.076821e-01
433,2048,-2.860011e+01,1.208730e-01
403,32768,-2.955286e+01,3.141688e-01
443,16384,-2.792423e+01,1.717952e-01
403,16384,-2.963252e+01,1.170719e-01
353,262144,-3.090722e+01,1.356704e+00
383,4096,-3.411259e+01,1.690811e+00
473,1024,-2.684192e+01,8.905281e-02
483,32768,-2.547391e+01,8.911318e-01
403,48,-2.912825e+01,1.736297e+00
353,131072,-3.159495e+01,9.989376e-01
