,Temperature (K),Volume (angstrom^3),C5 Number,E Number,C5 Loading Mean,C5 Loading STD,E Loading Mean,E Loading STD
68,453.0,45812984490.666664,3.4166666666666665,8.166666666666666,0.003951556848958333,0.0001613083508114968,5.763336041666667e-05,9.167374614516994e-06
69,453.0,2932031007402.6665,3.4166666666666665,8.166666666666666,6.020294505208333e-05,1.1526664563322715e-05,1.365719921875e-06,1.8524160247430731e-06
70,453.0,23456248059221.332,3.4166666666666665,8.166666666666666,7.021371223958333e-06,6.467292198810855e-06,2.2553244791666664e-07,8.734834150301689e-07
71,453.0,715827882.6666666,3.4166666666666665,8.166666666666666,0.2731949505208333,0.011091037009696601,0.003892615651041667,0.00010171715407088482
72,453.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.6864837499999998,0.03226802453614533,0.03723301197916666,0.0014278445109932366
73,453.0,1.2009599006321322e+16,3.4166666666666665,8.166666666666666,0.0,0.0,0.0,0.0
74,453.0,1501199875790165.2,3.4166666666666665,8.166666666666666,4.2873570312500003e-07,1.1343282502820892e-06,0.0,0.0
75,453.0,9216.0,3.4166666666666665,8.166666666666666,3.400007447916667,0.004174768471923085,6.343705911458334,0.07072744224651674
76,453.0,187649984473770.66,3.4166666666666665,8.166666666666666,9.628482291666667e-07,1.957835460490705e-06,1.0725122395833334e-07,5.971495426251098e-07
77,453.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.401927708333333,0.0034178873835552623,5.8691928125,0.07491887532222063
78,453.0,5726623061.333333,3.4166666666666665,8.166666666666666,0.031768873697916665,0.0011925133161182725,0.00046906917187500004,3.463422573490685e-05
79,453.0,366503875925.3333,3.4166666666666665,8.166666666666666,0.0004947101822916667,3.412766112538448e-05,8.665136770833333e-06,3.984327601863543e-06
80,363.0,5726623061.333333,3.4166666666666665,8.166666666666666,3.0803121874999997,0.033122310314510704,0.017364260677083333,0.0034453695990703326
81,363.0,174762.66666666666,3.4166666666666665,8.166666666666666,3.4165274739583333,0.00019371006357840492,6.958830703124999,0.044344141893044274
82,363.0,11184810.666666666,3.4166666666666665,8.166666666666666,3.416133515625,0.00016730200963966497,3.180620182291667,0.10820085754397861
83,363.0,1398101.3333333333,3.4166666666666665,8.166666666666666,3.416473411458333,0.00010672857077703075,5.660320546875,0.17018259062440058
84,363.0,366503875925.3333,3.4166666666666665,8.166666666666666,0.09396253072916666,0.019299028395283514,0.00010162634947916667,1.423455864444927e-05
85,363.0,1152.0,3.4166666666666665,8.166666666666666,3.4166666666666665,0.0,8.066984192708333,0.03273422917196659
86,363.0,89478485.33333333,3.4166666666666665,8.166666666666666,3.4110238281250003,0.000827681717296225,0.8442790416666668,0.05921055163258842
87,363.0,1501199875790165.2,3.4166666666666665,8.166666666666666,1.82313734375e-05,6.997924448263935e-06,2.0984007812499998e-07,8.127073195190516e-07
88,363.0,1.2009599006321322e+16,3.4166666666666665,8.166666666666666,2.5566130468749998e-06,3.412315331217565e-06,0.0,0.0
89,363.0,9216.0,3.4166666666666665,8.166666666666666,3.4166201041666664,0.0002071854575062131,7.7933040104166675,0.05678597715464506
